_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
2321,A1390896,,CAT,TABBY-GRAY,,DOMESTIC SH,UNKNOWN,2015-08-11,10 YEARS,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-11,DISPOSAL,,DEAD,N PARK VICTORIA DR X TRAUGHBER ST,MILPITAS,2025-08-11
2322,A1390904,,DOG,BROWN,BLACK,GERM SHEPHERD,MALE,2020-09-04,4 YEARS,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-11,DISPOSAL,,DEAD,STORY RD / LEEWARD DR,SAN JOSE,2025-08-11
2323,A1390908,,CAT,CALICO-TRI,,DOMESTIC SH,FEMALE,2025-08-02,7 WEEKS,2025-08-11,NURSING,STRAY,OTC,,2025-08-15,RESCUE,,NURSING,SHADY HOLLOW CT/MURILLO AVE,SAN JOSE,2025-08-15
2324,A1390909,,CAT,WHITE,ORANGE,DOMESTIC SH,MALE,2025-08-02,7 WEEKS,2025-08-11,NURSING,STRAY,OTC,,2025-08-15,RESCUE,,NURSING,SHADY HOLLOW CT/MURILLO AVE,SAN JOSE,2025-08-15
2325,A1390910,RA,DOG,RED,,PIT BULL,MALE,2024-05-13,1 YEAR 4 MONTHS,2025-08-11,HEALTHY,CONFISCATE,ASO,,,,,,,SAN JOSE,2025-09-03
2326,A1390911,,DOG,BROWN,WHITE,CHIHUAHUA SH,MALE,2023-08-11,2 YEARS,2025-08-11,HEALTHY,STRAY,OTC,,2025-08-15,TRANSFER,,HEALTHY,W ALMA AVE/LICK AVE,SAN JOSE,2025-08-15
2327,A1390920,,CAT,BLACK,,DOMESTIC SH,MALE,2025-07-28,7 WEEKS,2025-08-11,NURSING,STRAY,OTC,,2025-08-15,RESCUE,,NURSING,TULLY RD/E CAPITOL EXPY,SAN JOSE,2025-08-15
2328,A1390921,,BIRD,WHITE,,SEA BIRD,UNKNOWN,,NO AGE,2025-08-11,MED SEV,WILDLIFE,FIELD,,2025-08-11,TRANSFER,,MED SEV,N 2ND ST,SAN JOSE,2025-08-11
2329,A1390922,,DOG,GOLD,,CHIHUAHUA SH,FEMALE,2025-01-11,8 MONTHS,2025-08-11,HEALTHY,STRAY,FIELD,,2025-08-15,TRANSFER,,HEALTHY,N 24TH ST,SAN JOSE,2025-08-15
2330,A1390923,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2025-06-14,14 WEEKS,2025-08-11,BEH R,STRAY,OTC,,2025-08-18,ADOPTION,,BEH R,WARRINGTON AVE/FARRINGDON DR,SAN JOSE,2025-08-18
2331,A1390924,,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2025-05-27,16 WEEKS,2025-08-11,BEH R,STRAY,OTC,,2025-08-16,ADOPTION,,HEALTHY,WARRINGTON AVE/FARRINGDON DR,SAN JOSE,2025-08-16
2332,A1390925,BENNY,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2020-08-11,5 YEARS,2025-08-11,HEALTHY,STRAY,FIELD,,2025-09-04,ADOPTION,,HEALTHY,MURPHY RANCH RD X TECHNOLOGY DR,MILPITAS,2025-09-04
2333,A1390926,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-08-11,PREGNANT,STRAY,OTC,,2025-08-13,RTF,,BEH M,ALMA X FORD,SAN JOSE,2025-08-13
2334,A1390927,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,MED SEV,STRAY,OTC,,2025-08-11,EUTH,,MED SEV,COLEMAN AVE/W TAYLOR ST,SAN JOSE,2025-08-11
2335,A1390928,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,MED SEV,STRAY,OTC,,2025-08-11,EUTH,,MED SEV,COLEMAN AVE/W TAYLOR ST,SAN JOSE,2025-08-11
2336,A1390929,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,MED SEV,STRAY,OTC,,2025-08-11,EUTH,,MED SEV,COLEMAN AVE/W TAYLOR ST,SAN JOSE,2025-08-11
2337,A1390930,,CAT,TABBY-GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,MED SEV,STRAY,OTC,,2025-08-11,EUTH,,MED SEV,COLEMAN AVE/W TAYLOR ST,SAN JOSE,2025-08-11
2338,A1390932,,CAT,TABBY-GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,DEAD,DISPO REQ,OTC,,2025-08-11,DISPOSAL,,DEAD,COLEMAN AVE/W TAYLOR ST,SAN JOSE,2025-08-11
2339,A1390933,,OTHER,GRAY,,RACCOON,UNKNOWN,,NO AGE,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-11,DISPOSAL,,DEAD,JACKLIN RD / ESCUELA PKWY,MILPITAS,2025-08-28
2340,A1390934,,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2025-05-18,4 MONTHS,2025-08-11,MED R,STRAY,OTC,,2025-08-22,NEUTER,,FERAL,CRAMER CIR/UMBARGER RD,SAN JOSE,2025-08-22
2341,A1390935,,OTHER,GRAY,,OPOSSUM,UNKNOWN,,NO AGE,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-11,DISPOSAL,,DEAD,CAMPBELL ST,MILPITAS,2025-08-28
2342,A1390936,,CAT,BLACK,,DOMESTIC SH,FEMALE,,NO AGE,2025-08-11,HEALTHY,STRAY,FOUND,,2025-09-16,FOUND ANIM,,HEALTHY,E EMPIRE ST/N 4TH ST,SAN JOSE,2025-09-16
2343,A1390937,,CAT,GRAY,,DOMESTIC SH,SPAYED,2022-08-14,3 YEARS,2025-08-11,MED R,STRAY,OTC,,2025-08-16,RTF,,BEH M,CHATSWORTH PL/MOORPARK AVE,SAN JOSE,2025-08-16
2344,A1390939,MOZZ,CAT,GRAY,,DOMESTIC SH,NEUTERED,2022-08-11,3 YEARS,2025-08-11,HEALTHY,OWNER SUR,OTC,,2025-08-30,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-30
2345,A1390940,TYCHO,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2022-08-11,3 YEARS,2025-08-11,HEALTHY,OWNER SUR,OTC,,2025-09-06,ADOPTION,,HEALTHY,,SAN JOSE,2025-09-06
2346,A1390942,,CAT,WHITE,TABBY-BRN,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,BEH U,STRAY,FIELD,,2025-08-11,EUTH,,MED SEV,1600 BLOCK NUGGET,SAN JOSE,2025-08-11
2347,A1390943,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,2025-07-27,7 WEEKS,2025-08-11,NURSING,STRAY,OTC,,,,,,KLEIN RD/CEDARDALE RD,SAN JOSE,2025-09-18
2348,A1390944,,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,2025-07-27,7 WEEKS,2025-08-11,NURSING,STRAY,OTC,,,,,,KLEIN RD/CEDARDALE RD,SAN JOSE,2025-09-18
2349,A1390945,,OTHER,GRAY,,OPOSSUM,UNKNOWN,,NO AGE,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-11,DISPOSAL,,DEAD,TOFTS DR,SAN JOSE,2025-08-28
2350,A1390946,,CAT,TABBY-ORG,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-28,DISPOSAL,,DEAD,SAWLEAF CT,SAN JOSE,2025-08-28
2351,A1390947,,DOG,BLACK,,MALTESE,UNKNOWN,2020-09-04,4 YEARS,2025-08-09,MED SEV,STRAY,MEDVET,,2025-08-11,EUTH,,MED SEV,1100 BLOCK E CALAVERAS BLVD,MILPITAS,2025-08-11
2352,A1390948,,BIRD,WHITE,,SEA BIRD,UNKNOWN,,NO AGE,2025-08-10,MED SEV,WILDLIFE,MEDVET,,2025-08-11,EUTH,,MED SEV,GLEN COMO WAY / S WHITE RD,SAN JOSE,2025-08-11
2353,A1390950,,CAT,GRAY,WHITE,DOMESTIC SH,UNKNOWN,2023-09-04,1 YEAR 11 MONTHS,2025-08-10,MED SEV,STRAY,MEDVET,,2025-08-11,EUTH,,MED SEV,S WHITE RD,SAN JOSE,2025-08-11
2354,A1390953,,CAT,PT-LILAC,PT-LILAC,DOMESTIC SH,SPAYED,2023-08-12,2 YEARS,2025-08-11,MED R,STRAY,FIELD,,,,,,FLINTFIELD DR,SAN JOSE,2025-08-16
2355,A1390954,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-08-11,5 WEEKS,2025-08-11,NURSING,STRAY,FIELD,,,,,,FLINTFIELD DR,SAN JOSE,2025-08-16
2356,A1390955,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-08-11,5 WEEKS,2025-08-11,NURSING,STRAY,FIELD,,,,,,FLINTFIELD DR,SAN JOSE,2025-08-16
2357,A1390956,,CAT,BUFF,,DOMESTIC SH,MALE,2025-08-11,5 WEEKS,2025-08-11,NURSING,STRAY,FIELD,,,,,,FLINTFIELD DR,SAN JOSE,2025-08-16
2358,A1390957,,CAT,CALICO-TRI,,DOMESTIC SH,FEMALE,2025-08-11,5 WEEKS,2025-08-11,NURSING,STRAY,FIELD,,,,,,FLINTFIELD DR,SAN JOSE,2025-08-16
2359,A1390958,,CAT,ORANGE,WHITE,DOMESTIC SH,MALE,2025-08-11,5 WEEKS,2025-08-11,NURSING,STRAY,FIELD,,,,,,FLINTFIELD DR,SAN JOSE,2025-09-11
2360,A1390968,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,2025-08-11,2 WEEKS,2025-08-12,NURSING,STRAY,OTC,,2025-08-25,DIED,,NURSING,,SAN JOSE,2025-08-25
2361,A1390969,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,2025-08-04,6 WEEKS,2025-08-12,NURSING,STRAY,OTC,,,,,,,SAN JOSE,2025-09-06
2362,A1390970,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,2025-08-04,6 WEEKS,2025-08-12,NURSING,STRAY,OTC,,,,,,,SAN JOSE,2025-09-06
2363,A1390971,,CAT,WHITE,,DOMESTIC SH,UNKNOWN,2025-08-04,6 WEEKS,2025-08-12,NURSING,STRAY,OTC,,,,,,,SAN JOSE,2025-09-06
2364,A1390972,CACHO,DOG,BLACK,BROWN,CHIHUAHUA SH,NEUTERED,2022-03-12,3 YEARS,2025-08-12,HEALTHY,OWNER SUR,FIELD,,2025-08-29,RESCUE,,HEALTHY,,SAN JOSE,2025-08-29
2365,A1390975,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-12,HEALTHY,STRAY,OTC,,2025-09-15,RTF,,FERAL,BERRYESSA RD/BERRYESSA STATION WAY,SAN JOSE,2025-09-15
2366,A1390976,SHADOW,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2025-07-25,8 WEEKS,2025-08-12,NURSING,STRAY,OTC,,2025-09-14,ADOPTION,,HEALTHY,BERRYESSA RD/BERRYESSA STATION WAY,SAN JOSE,2025-09-14
2367,A1390977,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2025-07-25,8 WEEKS,2025-08-12,NURSING,STRAY,OTC,,,,,,BERRYESSA RD/BERRYESSA STATION WAY,SAN JOSE,2025-09-16
2368,A1390978,CALI,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,2025-07-25,8 WEEKS,2025-08-12,NURSING,STRAY,OTC,,2025-09-13,ADOPTION,,HEALTHY,BERRYESSA RD/BERRYESSA STATION WAY,SAN JOSE,2025-09-13
2369,A1390980,,CAT,TORBI-DIL,,DOMESTIC SH,FEMALE,2025-05-12,14 WEEKS,2025-08-12,MED SEV,STRAY,OTC,IP ADOPT,2025-08-18,EUTH,,MED SEV,CARASTON WAY X BRITT CT,SAN JOSE,2025-08-18
2370,A1390981,PEDRITO,DOG,WHITE,BLACK,POODLE MIN,NEUTERED,2023-08-12,2 YEARS,2025-08-12,BEH U,OWNER SUR,FIELD,,2025-08-22,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-22
2371,A1390982,LUMPIA,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2025-02-12,7 MONTHS,2025-08-12,BEH U,OWNER SUR,FIELD,NO HOME,2025-08-20,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-20
2372,A1390983,,DOG,WHITE,TAN,MALTESE,MALE,2025-02-12,7 MONTHS,2025-08-12,BEH U,OWNER SUR,FIELD,NO HOME,2025-08-25,TRANSFER,,BEH M,,SAN JOSE,2025-08-25
2373,A1390997,,DOG,BROWN,TRICOLOR,CHIHUAHUA SH,MALE,2023-08-12,2 YEARS,2025-08-12,MED R,STRAY,MEDVET,IP ADOPT,2025-08-16,RTO,,HEALTHY,7000 BLOCK SANTA TERESA BLVD,SAN JOSE,2025-08-16
2374,A1391004,,DOG,WHITE,,POODLE MIN,MALE,,NO AGE,2025-08-12,MED R,STRAY,OTC,,2025-08-19,TRANSFER,,BEH M,CHARLOTTE DR/LEXINGTON DR,SAN JOSE,2025-08-19
2375,A1391005,COCOGIRL VEIKOSO,DOG,WHITE,,POODLE MIN,SPAYED,2021-08-17,4 YEARS,2025-08-12,MED R,STRAY,OTC,,2025-08-20,ADOPTION,,HEALTHY,CHARLOTTE DR/LEXINGTON DR,SAN JOSE,2025-08-20
2376,A1391005,COCOGIRL VEIKOSO,DOG,WHITE,,POODLE MIN,SPAYED,2021-08-17,4 YEARS,2025-09-05,MED R,OWNER SUR,OTC,,2025-09-09,ADOPTION,,MED R,,SAN JOSE,2025-09-09
2377,A1391006,PRECIOUS,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2022-08-12,3 YEARS,2025-08-12,HEALTHY,OWNER SUR,OTC,,2025-08-16,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-16
2378,A1391007,CASHMERE,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2025-02-12,7 MONTHS,2025-08-12,HEALTHY,OWNER SUR,OTC,,2025-08-16,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-16
2379,A1391008,STAR,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2025-02-12,7 MONTHS,2025-08-12,HEALTHY,OWNER SUR,OTC,,2025-08-20,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-20
2380,A1391009,SKY,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2025-03-29,6 MONTHS,2025-08-12,HEALTHY,OWNER SUR,OTC,,2025-08-20,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-20
2381,A1391010,OSHA,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-12,PREGNANT,STRAY,OTC,,2025-08-13,RTO,,HEALTHY,NIPPER AVE/LAS PLUMAS AVE,SAN JOSE,2025-08-13
2382,A1391012,JOAN OF ARC,CAT,WHITE,,DOMESTIC SH,NEUTERED,2025-07-12,10 WEEKS,2025-08-12,MED SEV,STRAY,OTC,,2025-09-10,ADOPTION,,HEALTHY,KENNEDY AVE X EDITH ST,SAN JOSE,2025-09-10
2383,A1391013,,CAT,WHITE,,DOMESTIC SH,UNKNOWN,2025-08-08,2 WEEKS,2025-08-12,NURSING,STRAY,OTC,,2025-08-20,EUTH,,MED EMERG,THORNDALE CT/TUERS RD,SAN JOSE,2025-08-20
2384,A1391014,,CAT,TABBY-GRAY,,DOMESTIC SH,MALE,2025-08-10,5 WEEKS,2025-08-12,NURSING,STRAY,OTC,,,,,,THORNDALE CT/TUERS RD,SAN JOSE,2025-09-15
2385,A1391015,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2025-04-12,5 MONTHS,2025-08-12,MED R,STRAY,OTC,,2025-08-25,RTF,,BEH M,HORCAJO ST/HILLVIEW,SAN JOSE,2025-08-25
2386,A1391020,,DOG,WHITE,,CHIHUAHUA LH,FEMALE,2025-06-22,12 WEEKS,2025-08-12,HEALTHY,STRAY,OTC,,2025-08-12,RESCUE,,HEALTHY,DEMEREST LN / FORD RD,SAN JOSE,2025-08-12
2387,A1391021,,DOG,WHITE,WHITE,CHIHUAHUA SH,FEMALE,2025-06-22,12 WEEKS,2025-08-12,HEALTHY,STRAY,OTC,,2025-08-12,RESCUE,,HEALTHY,DEMEREST LN / FORD RD,SAN JOSE,2025-08-12
2388,A1391022,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2025-08-12,MED R,WILDLIFE,FIELD,,2025-08-12,TRANSFER,,MED R,VIA RAMADA,SAN JOSE,2025-08-12
2389,A1391023,,DOG,TAN,,POODLE STND,UNKNOWN,,NO AGE,2025-08-12,DEAD,DISPO REQ,OTC,,2025-08-12,DISPOSAL,,DEAD,S KING RD,SAN JOSE,2025-08-12
2390,A1391024,,DOG,GRAY,,CAIRN TERRIER,NEUTERED,2023-08-12,2 YEARS,2025-08-12,HEALTHY,STRAY,OTC,IP ADOPT,2025-08-20,ADOPTION,,HEALTHY,S ALMADEN AVE X WEST VIRGINIA ST,SAN JOSE,2025-08-20
2391,A1391025,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2023-09-04,1 YEAR 11 MONTHS,2025-08-12,DEAD,DISPO REQ,FIELD,,2025-08-12,DISPOSAL,,DEAD,2600 BLOCK SUGARPLUM DR,SAN JOSE,2025-08-13
2392,A1391026,TRAP 2,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2393,A1391027,TRAP 3,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2394,A1391028,TRAP 4,CAT,GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2395,A1391029,TRAP 5,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2396,A1391030,TRAP 6,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,SPAY,,FERAL,,SAN JOSE,2025-08-13
2397,A1391031,TRAP 7,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2398,A1391032,TRAP 8,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2399,A1391033,TRAP 9,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2400,A1391034,TRAP 10,CAT,WHITE,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2401,A1391035,TRAP 11,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-15,RTF,,FERAL,,SAN JOSE,2025-08-15
2402,A1391036,TRAP 12,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,SPAY,,FERAL,,SAN JOSE,2025-08-13
2403,A1391037,TRAP 13,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,SPAY,,FERAL,,SAN JOSE,2025-08-13
2404,A1391037,TRAP 13,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-08-19,MED R,STRAY,OTC,,2025-08-19,RTF,,HEALTHY,EDWARDS AVE/ALMADEN,SAN JOSE,2025-09-16
2405,A1391038,TRAP 14,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,MILPITAS,2025-08-13
2406,A1391039,TRAP 15,CAT,PT-SEAL,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,SPAY,,FERAL,,MILPITAS,2025-08-13
2407,A1391040,TRAP 16,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2408,A1391041,TRAP 17,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2409,A1391042,TRAP 18,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2410,A1391043,TRAP 19,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2411,A1391044,TRAP 20,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-08-13,FERAL,S/N CLINIC,,,2025-08-13,SPAY,,FERAL,,SAN JOSE,2025-08-13
2412,A1391045,TRAP 21,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-12,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2413,A1391046,TRAP 22,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-12,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2414,A1391047,TRAP 23,CAT,GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-12,FERAL,S/N CLINIC,,,2025-08-13,NEUTER,,FERAL,,SAN JOSE,2025-08-13
2415,A1391048,TRAP 24,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-12,FERAL,S/N CLINIC,,,2025-08-13,SPAY,,FERAL,,SAN JOSE,2025-08-13
2416,A1391049,TRAP 25,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-08-12,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2417,A1391050,TRAP 26,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-12,FERAL,S/N CLINIC,,,2025-08-13,RTF,,FERAL,,SAN JOSE,2025-08-13
2418,A1391051,ANGEL,CAT,WHITE,TABBY-BRN,DOMESTIC SH,SPAYED,2025-04-14,5 MONTHS,2025-08-14,HEALTHY,S/N CLINIC,,,2025-08-16,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-16
2419,A1391052,TRAP 1,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-20,FERAL,S/N CLINIC,,,2025-08-20,NEUTER,,FERAL,,SAN JOSE,2025-08-20
2420,A1391053,TRAP 2,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-20,FERAL,S/N CLINIC,,,2025-08-20,NEUTER,,FERAL,,SAN JOSE,2025-08-20
2421,A1391054,TRAP 3,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-20,FERAL,S/N CLINIC,,,2025-08-20,SPAY,,FERAL,,SAN JOSE,2025-08-20
2422,A1391062,,DOG,TAN,,POODLE STND,MALE,2021-08-13,4 YEARS,2025-08-12,MED R,STRAY,OTC,,2025-08-13,RTO,,MED R,BOURGEOIS WAY/RODEO PL,SAN JOSE,2025-08-13
2423,A1391066,MILO,DOG,WHITE,,LABRADOR RETR,NEUTERED,2025-01-20,8 MONTHS,2025-08-12,HEALTHY,STRAY,OTC,,2025-08-21,ADOPTION,,HEALTHY,CAMDEN AVE/KOOSER RD,SAN JOSE,2025-08-21
2424,A1391068,ROXIE,DOG,TAN,,CAIRN TERRIER,SPAYED,2025-05-12,4 MONTHS,2025-08-12,HEALTHY,STRAY,OTC,IP ADOPT,2025-08-18,ADOPTION,,HEALTHY,SILVER CREEK RD / DANIEL MALONEY DR,SAN JOSE,2025-08-18
2425,A1391147,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2023-09-04,1 YEAR 11 MONTHS,2025-08-12,DEAD,DISPO REQ,FIELD,,2025-08-12,DISPOSAL,,DEAD,KEVENAIRE DR,MILPITAS,2025-08-13
2426,A1391235,CHENTE,DOG,BLACK,GRAY,AUST CATTLE DOG,NEUTERED,2025-02-12,7 MONTHS,2025-08-12,HEALTHY,STRAY,OTC,,2025-08-25,TRANSFER,,HEALTHY,HILLSDALE AVE/ROSS AVE,SAN JOSE,2025-08-25
2427,A1391355,,DOG,WHITE,TAN,CAIRN TERRIER,MALE,2019-08-13,6 YEARS,2025-08-12,HEALTHY,STRAY,OTC,,2025-08-15,TRANSFER,,HEALTHY,ANESCO AVE / ALVIN DR,SAN JOSE,2025-08-15
2428,A1391357,LEXI,CAT,TABBY-GRAY,,DOMESTIC LH,UNKNOWN,,NO AGE,2025-08-12,HEALTHY,CONFISCATE,ASO,,2025-08-13,RTO,,HEALTHY,,SAN JOSE,2025-08-13
2429,A1391358,,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-12,MED SEV,STRAY,OTC,IP ADOPT,2025-08-12,EUTH,,MED SEV,CURETON PL/ E. HILLS,SAN JOSE,2025-08-13
2430,A1391360,,CAT,TORTIE-B\O,,DOMESTIC SH,UNKNOWN,2023-09-04,1 YEAR 11 MONTHS,2025-08-11,MED SEV,STRAY,MEDVET,,2025-08-12,EUTH,,MED SEV,SEACLIFF WAY,SAN JOSE,2025-08-12
2431,A1391362,,CAT,TORBI-BRN,,DOMESTIC SH,UNKNOWN,2023-09-04,1 YEAR 11 MONTHS,2025-08-12,DEAD,DISPO REQ,MEDVET,,2025-08-12,DISPOSAL,,DEAD,CREEK DR / PINE AVE,SAN JOSE,2025-08-12
2432,A1391366,,CAT,TORBI-BRN,,DOMESTIC SH,FEMALE,2025-07-22,8 WEEKS,2025-08-12,MED R,STRAY,OTC,,,,,,MEADOWFAIRE X UMBARGER,SAN JOSE,2025-08-18
2433,A1391367,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,2024-08-12,1 YEAR,2025-08-12,DEAD,DISPO REQ,FIELD,,2025-08-12,DISPOSAL,,DEAD,GISH RD / 10TH ST,SAN JOSE,2025-08-12
2434,A1391368,,CAT,GRAY,,DOMESTIC SH,FEMALE,2025-04-13,5 MONTHS,2025-08-13,HEALTHY,STRAY,OTC,,2025-08-17,RESCUE,,HEALTHY,2700 BLOCK MONTEREY RD,SAN JOSE,2025-08-17
2435,A1391369,MAMAS,DOG,BLACK,,CHIHUAHUA SH,SPAYED,2024-10-13,11 MONTHS,2025-08-13,HEALTHY,SPAY,,,2025-08-13,SPAY,,HEALTHY,,SAN JOSE,2025-08-20
2436,A1391370,SMOKEY,CAT,GRAY,,DOMESTIC SH,SPAYED,2025-04-13,5 MONTHS,2025-08-13,HEALTHY,SPAY,,,2025-08-13,SPAY,,HEALTHY,,SAN JOSE,2025-08-20
